"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Sun 16th Apr,2017 02:51 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Sun 16th Apr,2017 02:51 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Sun 16th Apr,2017 02:52 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Sun 16th Apr,2017 02:53 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Sun 16th Apr,2017 02:54 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Sun 16th Apr,2017 02:55 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Sun 16th Apr,2017 02:56 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Sun 16th Apr,2017 02:57 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Sun 16th Apr,2017 02:58 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Sun 16th Apr,2017 02:59 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Sun 16th Apr,2017 03:00 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Sun 16th Apr,2017 03:01 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Sun 16th Apr,2017 03:02 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Sun 16th Apr,2017 03:03 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Sun 16th Apr,2017 03:04 pm"
